label,x,y,score,class,year,citations,title,doi
Arthur C. Graesser et al. (2004),1765.264,4954.902,0.028,0,2004,1486,Coh-Metrix: Analysis of text on cohesion and language,10.3758/bf03195564
Cindy K. Chung & James W. Pennebaker (2012),1324.656,6747.077,0.013,0,2012,2204,Linguistic Inquiry and Word Count (LIWC),10.4018/978-1-60960-741-8.ch012
James W. Pennebaker & Janel D. Seagal (1999),684.529,7134.329,0,0,1999,1371,Forming a story: The health benefits of narrative,10.1002/(sici)1097-4679(199910)55:10<1243::aid-jclp6>3.0.co;2-n
Max Coltheart (1981),2311.359,5082.838,0,0,1981,2438,The MRC Psycholinguistic Database,10.1080/14640748108400805
Douglas Biber et al. (1998),2360.5,5580.759,0,0,1998,1387,Corpus Linguistics,10.1017/cbo9780511804489
Daniel Jurafsky & James Martin (2000),852.848,2991.209,0.021,0,2000,4165,"Speech and Language Processing: An Introduction to Natural Language Processing, Computational Linguistics, and Speech Recognition",
Pınar Duygulu et al. (2002),-2161.802,457.309,0.003,0,2002,1610,Object Recognition as Machine Translation: Learning a Lexicon for a Fixed Image Vocabulary,10.1007/3-540-47979-1_7
Yla Tausczik & James W. Pennebaker (2009),348.415,6446.77,0.026,0,2009,5625,The Psychological Meaning of Words: LIWC and Computerized Text Analysis Methods,10.1177/0261927x09351676
Andranik Tumasjan et al. (2010),179.92,5264.846,0.001,0,2010,2660,Predicting Elections with Twitter: What 140 Characters Reveal about Political Sentiment,10.1609/icwsm.v4i1.14009
Hanna Damásio et al. (1996),3341.417,6140.12,0.017,3,1996,1589,A neural basis for lexical retrieval,10.1038/380499a0
Joan Gay Snodgrass & Mary Vanderwart (1980),3937.43,6108.77,0.001,3,1980,5062,"A standardized set of 260 pictures: Norms for name agreement, image agreement, familiarity, and visual complexity.",10.1037//0278-7393.6.2.174
Sharon L. Thompson‐Schill et al. (1997),3374.674,6806.364,0.008,3,1997,2162,Role of left inferior prefrontal cortex in retrieval of semantic knowledge: A reevaluation,10.1073/pnas.94.26.14792
James W. Tanaka & Martha J. Farah (1993),1925.046,4383.414,0.001,0,1993,2160,Parts and Wholes in Face Recognition,10.1080/14640749308401045
L. Gauthier et al. (2000),1645.243,3217.377,0,0,2000,1424,Expertise for cars and birds recruits brain areas involved in face recognition,10.1038/72140
Roshan Cools & Mark D’Esposito (2011),3771.582,7438.654,0.002,3,2011,1678,Inverted-U–Shaped Dopamine Actions on Human Working Memory and Cognitive Control,10.1016/j.biopsych.2011.03.028
Stephen Monsell & Jon Driver (2000),4259.248,7648.296,0,3,2000,1449,Control of Cognitive Processes: Attention and Performance XVIII,
Nilli Lavie et al. (2004),3900.795,7251.261,0.002,3,2004,1778,Load Theory of Selective Attention and Cognitive Control.,10.1037/0096-3445.133.3.339
Nilli Lavie (2005),3763.402,7071.827,0,3,2005,2034,Distracted and confused?: Selective attention under load,10.1016/j.tics.2004.12.004
Adele Diamond et al. (2007),4232.426,7725.36,0,3,2007,1996,Preschool Program Improves Cognitive Control,10.1126/science.1151148
Unknown (2002),4027.354,6927.181,0,3,2002,1672,Principles of Frontal Lobe Function,10.1093/acprof:oso/9780195134971.001.0001
Joaquı́n M. Fuster (1997),3627.092,6647.879,0,3,1997,2099,The prefrontal cortex,
Étienne Koechlin et al. (2003),3514.668,6920.054,0,3,2003,1857,The Architecture of Cognitive Control in the Human Prefrontal Cortex,10.1126/science.1088545
Timothy E.J. Behrens et al. (2007),2256.055,5795.391,0.007,3,2007,2158,Learning the value of information in an uncertain world,10.1038/nn1954
David W. Green & Jubin Abutalebi (2013),3804.495,7829.705,0.002,3,2013,1685,Language control in bilinguals: The adaptive control hypothesis,10.1080/20445911.2013.796377
David W. Green (1998),3416.533,7390.406,0,3,1998,2699,Mental control of the bilingual lexico-semantic system,10.1017/s1366728998000133
Angela D. Friederici (2002),3650.606,6460.113,0,3,2002,2227,Towards a neural basis of auditory sentence processing,10.1016/s1364-6613(00)01839-8
Lyn Frazier & Janet Dean Fodor (1978),3051.985,5881.374,0,3,1978,1402,The sausage machine: A new two-stage parsing model,10.1016/0010-0277(78)90002-1
Lyn Frazier & Keith Rayner (1982),3462.807,5804.952,0,3,1982,1756,Making and correcting errors during sentence comprehension: Eye movements in the analysis of structurally ambiguous sentences,10.1016/0010-0285(82)90008-1
Roger P. Woods et al. (1993),1387.944,5281.543,0.002,3,1993,1627,MRI-PET Registration with Automated Algorithm,10.1097/00004728-199307000-00004
Colin J. Holmes et al. (1998),1359.504,6172.273,0.001,3,1998,1468,Enhancement of MR Images Using Registration for Signal Averaging,10.1097/00004728-199803000-00032
Alan C. Evans et al. (2005),1636.374,6245.394,0,3,2005,1521,3D statistical neuroanatomical models from 305 MRI volumes,10.1109/nssmic.1993.373602
Jörn Diedrichsen et al. (2009),2162.499,6359.233,0,3,2009,1403,A probabilistic MR atlas of the human cerebellum,10.1016/j.neuroimage.2009.01.045
Edward Vul et al. (2009),2548.157,6113.857,0.001,3,2009,1496,"Puzzlingly High Correlations in fMRI Studies of Emotion, Personality, and Social Cognition",10.1111/j.1745-6924.2009.01125.x
Harold Pashler et al. (2001),3552.993,6406.623,0.022,3,2001,1421,Attention and Performance,10.1146/annurev.psych.52.1.629
Matthew D. Lieberman & William A. Cunningham (2009),2691.014,6972.959,0,3,2009,1352,Type I and Type II error concerns in fMRI research: re-balancing the scale,10.1093/scan/nsp052
Brian Avants et al. (2010),720.819,3123.668,0.02,3,2010,4916,A reproducible evaluation of ANTs similarity metric performance in brain image registration,10.1016/j.neuroimage.2010.09.025
Tom Vercauteren et al. (2008),-817.061,1623.292,0.002,0,2008,1556,Diffeomorphic demons: Efficient non-parametric image registration,10.1016/j.neuroimage.2008.10.040
Olivier Bernard et al. (2018),-3567.124,409.438,0.003,0,2018,2087,Deep Learning Techniques for Automatic MRI Cardiac Multi-Structures Segmentation and Diagnosis: Is the Problem Solved?,10.1109/tmi.2018.2837502
Xiaomeng Li et al. (2018),-5829.929,615.511,0.001,0,2018,2377,H-DenseUNet: Hybrid Densely Connected UNet for Liver and Tumor Segmentation From CT Volumes,10.1109/tmi.2018.2845918
Ali Hatamizadeh et al. (2022),-6601.447,777.665,0.001,0,2022,2565,UNETR: Transformers for 3D Medical Image Segmentation,10.1109/wacv51458.2022.00181
Jun Fu et al. (2019),-7642.71,3.852,0.007,0,2019,6679,Dual Attention Network for Scene Segmentation,10.1109/cvpr.2019.00326
Liang-Chieh Chen et al. (2017),-7548.048,-139.223,0,0,2017,7425,Rethinking Atrous Convolution for Semantic Image Segmentation,10.48550/arxiv.1706.05587
Yuhong Li et al. (2018),-5784.967,-1484.534,0,0,2018,1598,CSRNet: Dilated Convolutional Neural Networks for Understanding the Highly Congested Scenes,10.1109/cvpr.2018.00120
Yingying Zhang et al. (2016),-3675.294,-1940.358,0.002,0,2016,2184,Single-Image Crowd Counting via Multi-Column Convolutional Neural Network,10.1109/cvpr.2016.70
Huimin Huang et al. (2020),-6408.146,-492.222,0.003,0,2020,2540,UNet 3+: A Full-Scale Connected UNet for Medical Image Segmentation,10.1109/icassp40776.2020.9053405
Ilya Loshchilov & Frank Hutter (2017),-6960.125,1158.415,0.003,0,2017,8992,Decoupled Weight Decay Regularization,10.48550/arxiv.1711.05101
Spyridon Bakas et al. (2018),-1567.312,315.392,0.001,0,2018,1413,"Identifying the Best Machine Learning Algorithms for Brain Tumor Segmentation, Progression Assessment, and Overall Survival Prediction in the BRATS Challenge",10.17863/cam.38755
Ozan Oktay et al. (2018),-3536.395,1289.754,0.005,0,2018,4509,Attention U-Net: Learning Where to Look for the Pancreas,10.48550/arxiv.1804.03999
Gao Yang et al. (2009),-1550.737,1122.274,0,0,2009,1601,Medical Image Computing and Computer-Assisted Intervention,
T.F. Cootes et al. (1995),-1181.152,-2360.492,0.001,0,1995,7163,Active Shape Models-Their Training and Application,10.1006/cviu.1995.1004
Vahid Kazemi & Josephine Sullivan (2014),-2006.851,-3072.946,0,0,2014,2782,One millisecond face alignment with an ensemble of regression trees,10.1109/cvpr.2014.241
Jo Schlemper et al. (2019),-3975.228,1373.977,0.055,0,2019,1811,Attention gated networks: Learning to leverage salient regions in medical images,10.1016/j.media.2019.01.012
Unknown (1993),-3262.394,-984.767,0,0,1993,17722,Proceedings of IEEE Conference on Computer Vision and Pattern Recognition,10.1109/cvpr.1993
Xing Lin et al. (2018),-3000.127,198.542,0.004,0,2018,2280,All-optical machine learning using diffractive deep neural networks,10.1126/science.aat8084
Mohammadreza Khorasaninejad et al. (2016),-2977.55,14.494,0,0,2016,3218,Metalenses at visible wavelengths: Diffraction-limited focusing and subwavelength resolution imaging,10.1126/science.aaf6644
Michael Kazhdan & Hugues Hoppe (2013),-2108.237,-3353.567,0,0,2013,2156,Screened poisson surface reconstruction,10.1145/2487228.2487237
Bhavin J. Shastri et al. (2021),-2373.094,1653.01,0,0,2021,1404,Photonics for artificial intelligence and neuromorphic computing,
Mike Davies et al. (2018),-1295.404,-626.718,0.001,0,2018,3513,Loihi: A Neuromorphic Manycore Processor with On-Chip Learning,10.1109/mm.2018.112130359
Johannes Feldmann et al. (2019),-3034.636,2122.471,0,0,2019,1445,All-optical spiking neurosynaptic networks with self-learning capabilities,10.1038/s41586-019-1157-8
Xingyuan Xu et al. (2021),-2074.544,1580.356,0.002,0,2021,1430,11 TOPS photonic convolutional accelerator for optical neural networks,10.1038/s41586-020-03063-0
Brent E. Little et al. (1997),-1764.272,2193.182,0,0,1997,1639,Microring resonator channel dropping filters,10.1109/50.588673
Tian Xie & Jeffrey C. Grossman (2018),-2398.267,418.25,0.002,0,2018,2440,Crystal Graph Convolutional Neural Networks for an Accurate and Interpretable Prediction of Material Properties,10.1103/physrevlett.120.145301
Sefaattin Tongay et al. (2012),-2247.686,375.525,0,0,2012,1378,Thermally Driven Crossover from Indirect toward Direct Bandgap in 2D Semiconductors: MoSe<sub>2</sub> versus MoS<sub>2</sub>,10.1021/nl302584w
Ali Hatamizadeh et al. (2022),-5772.369,849.393,0,0,2022,1444,Swin UNETR: Swin Transformers for Semantic Segmentation of Brain Tumors in MRI Images,10.1007/978-3-031-08999-2_22
Hu Cao et al. (2023),-7468.987,579.865,0.006,0,2023,3167,Swin-Unet: Unet-Like Pure Transformer for Medical Image Segmentation,10.1007/978-3-031-25066-8_9
Zongwei Zhou et al. (2018),-7001.244,693.593,0.003,0,2018,8412,UNet++: A Nested U-Net Architecture for Medical Image Segmentation,10.1007/978-3-030-00889-5_1
Carole H. Sudre et al. (2017),-3439.185,1443.675,0,0,2017,2471,Generalised Dice Overlap as a Deep Learning Loss Function for Highly Unbalanced Segmentations,10.1007/978-3-319-67558-9_28
Thomas S. Huang et al. (1979),-2656.146,-3429.73,0,0,1979,1353,A fast two-dimensional median filtering algorithm,10.1109/tassp.1979.1163188
Brian Avants et al. (2007),485.131,2977.712,0.003,3,2007,5794,Symmetric diffeomorphic image registration with cross-correlation: Evaluating automated labeling of elderly and neurodegenerative brain,10.1016/j.media.2007.06.004
Nicholas J. Tustison et al. (2010),276.455,3919.459,0.001,3,2010,6166,N4ITK: Improved N3 Bias Correction,10.1109/tmi.2010.2046908
Sérgio Pereira et al. (2016),-3300.559,1491.145,0.001,0,2016,2596,Brain Tumor Segmentation Using Convolutional Neural Networks in MRI Images,10.1109/tmi.2016.2538465
U. Rajendra Acharya et al. (2017),-1804.611,1097.722,0.001,0,2017,1568,Deep convolutional neural network for the automated detection and diagnosis of seizure using EEG signals,10.1016/j.compbiomed.2017.09.017
U. Rajendra Acharya et al. (2017),-1394.241,639.892,0.002,0,2017,1342,A deep convolutional neural network model to classify heartbeats,10.1016/j.compbiomed.2017.08.022
Ary L. Goldberger et al. (2000),4707.504,1659.463,0.026,3,2000,14131,"PhysioBank, PhysioToolkit, and PhysioNet",10.1161/01.cir.101.23.e215
Rosario N. Mantegna & H. Eugene Stanley (1995),7093.167,1642.788,0.026,3,1995,1747,Scaling behaviour in the dynamics of an economic index,10.1038/376046a0
Per Bak et al. (1987),7938.228,1365.513,0.002,3,1987,7489,Self-organized criticality: An explanation of the 1/<i>f</i>noise,10.1103/physrevlett.59.381
Bruce McNamara & Kurt Wiesenfeld (1989),7440.949,879.109,0,3,1989,1547,Theory of stochastic resonance,10.1103/physreva.39.4854
L. Gammaitoni et al. (1998),6941.572,-2062.312,0.019,3,1998,5265,Stochastic resonance,10.1103/revmodphys.70.223
D. M. Eigler & E. K. Schweizer (1990),6859.322,-5517.594,0,4,1990,3116,Positioning single atoms with a scanning tunnelling microscope,10.1038/344524a0
Ignacio Horcas et al. (2007),7099.118,-5794.822,0,4,2007,7576,<scp>WSXM</scp>: A software for scanning probe microscopy and a tool for nanotechnology,10.1063/1.2432410
Kurt Wiesenfeld & Frank Moss (1995),7892.249,912.797,0,3,1995,1800,Stochastic resonance and the benefits of noise: from ice ages to crayfish and SQUIDs,10.1038/373033a0
Edward Ott & Kurt Wiesenfeld (1994),7553.729,1097.823,0.001,3,1994,3463,<i>Chaos in Dynamical Systems</i>,10.1063/1.2808369
Edward Ott (2002),7620.631,1171.828,0,3,2002,2232,Chaos in Dynamical Systems,10.1017/cbo9780511803260
Edward Ott et al. (1990),6867.289,984.2,0.003,3,1990,5327,Controlling chaos,10.1103/physrevlett.64.1196
G. M. Zaslavsky (2002),5204.976,-2984.631,0,3,2002,1564,"Chaos, fractional kinetics, and anomalous transport",10.1016/s0370-1573(02)00331-9
Shiing-Shen Chern (1988),381.231,-5286.186,0,0,1988,23502,Partial Differential Equations,10.1007/bfb0082920
Felipe Cucker & Steve Smale (2001),930.206,-2439.41,0.002,0,2001,1558,On the mathematical foundations of learning,10.1090/s0273-0979-01-00923-5
Jöran Bergh & Jörgen Löfström (1976),291.452,-4982.123,0,4,1976,3029,Interpolation Spaces,10.1007/978-3-642-66451-9
Felipe Cucker & Steve Smale (2007),6850.057,-3122.358,0,5,2007,1765,Emergent Behavior in Flocks,10.1109/tac.2007.895842
Ιωάννης Τσιτσικλής (1984),7010.001,-3596.471,0,5,1984,1355,PROBLEMS IN DECENTRALIZED DECISION MAKING AND COMPUTATION,10.12681/eadd/3778
A. Nedić et al. (2010),8203.102,-3189.663,0,5,2010,2118,Constrained Consensus and Optimization in Multi-Agent Networks,10.1109/tac.2010.2041686
Michael G. Crandall & Pierre‐Louis Lions (1983),-952.462,-7691.204,0,4,1983,2662,Viscosity solutions of Hamilton-Jacobi equations,10.1090/s0002-9947-1983-0690039-8
Chi‐Wang Shu (1998),-1192.9,-9643.773,0.005,4,1998,1882,Essentially non-oscillatory and weighted essentially non-oscillatory schemes for hyperbolic conservation laws,10.1007/bfb0096355
P. K. Sweby (1984),-1179.85,-10442.991,0,4,1984,2645,High Resolution Schemes Using Flux Limiters for Hyperbolic Conservation Laws,10.1137/0721062
Bernardo Cockburn & Chi‐Wang Shu (1989),-1176.326,-10562.622,0.002,4,1989,1893,TVB Runge-Kutta local projection discontinuous Galerkin finite element method for conservation laws. II. General framework,10.1090/s0025-5718-1989-0983311-4
Douglas N. Arnold et al. (2002),-1168.229,-10896.728,0,4,2002,3213,Unified Analysis of Discontinuous Galerkin Methods for Elliptic Problems,10.1137/s0036142901384162
L. Beirão da Veiga et al. (2012),-1164.379,-11063.742,0,4,2012,1442,BASIC PRINCIPLES OF VIRTUAL ELEMENT METHODS,10.1142/s0218202512500492
Sigal Gottlieb et al. (2001),-1178.092,-10503.556,0,4,2001,2464,Strong Stability-Preserving High-Order Time Discretization Methods,10.1137/s003614450036757x
Ralf Metzler & J. Klafter (2004),6464.57,-3891.25,0,3,2004,2315,The restaurant at the end of the random walk: recent developments in the description of anomalous transport by fractional dynamics,10.1088/0305-4470/37/31/r01
Frank Spitzer (1964),6814.691,-4196.034,0,3,1964,1360,Principles of Random Walk,10.1007/978-1-4684-6257-9
Per Bak (1982),8335.765,1498.498,0,3,1982,1502,"Commensurate phases, incommensurate phases and the devil's staircase",10.1088/0034-4885/45/6/001
M. B. Weissman (1988),8231.204,-12.511,0,3,1988,1348,"<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mfrac><mml:mrow><mml:mn>1</mml:mn></mml:mrow><mml:mrow><mml:mi>f</mml:mi></mml:mrow></mml:mfrac></mml:math>noise and other slow, nonexponential kinetics in condensed matter",10.1103/revmodphys.60.537
R. G. Palmer et al. (1984),6346.183,-2272.932,0,3,1984,1520,Models of Hierarchically Constrained Dynamics for Glassy Relaxation,10.1103/physrevlett.53.958
Ludovic Berthier & Giulio Biroli (2011),6718.989,-3787.949,0,3,2011,2042,Theoretical perspective on the glass transition and amorphous materials,10.1103/revmodphys.83.587
C. A. Angell et al. (2000),7088.179,-4054.094,0,3,2000,2205,Relaxation in glassforming liquids and amorphous solids,10.1063/1.1286035
Andrea J. Liu & Sidney R. Nagel (1998),5679.538,-4334.389,0,3,1998,1828,Jamming is not just cool any more,10.1038/23819
Prashanta Dutta & Paul Horn (1981),9081.58,795.318,0,3,1981,1726,"Low-frequency fluctuations in solids:<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mfrac><mml:mrow><mml:mn>1</mml:mn></mml:mrow><mml:mrow><mml:mi>f</mml:mi></mml:mrow></mml:mfrac></mml:math>noise",10.1103/revmodphys.53.497
F. Schedin et al. (2007),9950.993,836.321,0,3,2007,7875,Detection of individual gas molecules adsorbed on graphene,10.1038/nmat1967
Seon Joon Kim et al. (2018),10238.844,846.447,0,3,2018,1598,Metallic Ti<sub>3</sub>C<sub>2</sub>T<sub><i>x</i></sub> MXene Gas Sensors with Ultrahigh Signal-to-Noise Ratio,10.1021/acsnano.7b07460
Per Bak et al. (1988),7992.809,1466.506,0.003,3,1988,4674,Self-organized criticality,10.1103/physreva.38.364
Haye Hinrichsen (2000),7184.517,1611.83,0,3,2000,1674,Non-equilibrium critical phenomena and phase transitions into absorbing states,10.1080/00018730050198152
Rosario N. Mantegna & H. Eugene Stanley (1999),6716.503,2116.555,0,3,1999,1764,Introduction to Econophysics,10.1017/cbo9780511755767
Roger Guimerà & Luı́s A. Nunes Amaral (2005),5943.793,2250.936,0.001,3,2005,3896,Functional cartography of complex metabolic networks,10.1038/nature03288
Andrea Lancichinetti et al. (2008),5845.346,2339.713,0.001,3,2008,3006,Benchmark graphs for testing community detection algorithms,10.1103/physreve.78.046110
Madalena D. Costa et al. (2002),6690.419,1617.31,0.001,3,2002,3112,Multiscale Entropy Analysis of Complex Physiologic Time Series,10.1103/physrevlett.89.068102
Steven M. Pincus (1991),5643.157,1058.345,0,3,1991,5674,Approximate entropy as a measure of system complexity.,10.1073/pnas.88.6.2297
Chung‐Kang Peng et al. (1995),6949.707,1967.39,0,3,1995,3799,Quantification of scaling exponents and crossover phenomena in nonstationary heartbeat time series,10.1063/1.166141
Alistair E. W. Johnson et al. (2019),702.561,1356.38,0.008,0,2019,1475,"MIMIC-CXR, a de-identified publicly available database of chest radiographs with free-text reports",10.1038/s41597-019-0322-0
Ary L. Goldberger et al. (2002),6655.976,2003.177,0.008,3,2002,2130,Fractal dynamics in physiology: Alterations with disease and aging,10.1073/pnas.012579499
Jiapu Pan & W.J. Tompkins (1985),-1221.428,-3604.829,0,4,1985,7614,A Real-Time QRS Detection Algorithm,10.1109/tbme.1985.325532
Cuiwei Li et al. (1995),-940.585,-5555.834,0,4,1995,1594,Detection of ECG characteristic points using wavelet transforms,10.1109/10.362922
Juan Pablo Martí­nez et al. (2004),-913.77,-5857.286,0,4,2004,1605,A Wavelet-Based ECG Delineator: Evaluation on Standard Databases,10.1109/tbme.2003.821031
Serkan Kıranyaz et al. (2015),-2072.51,-1548.869,0,0,2015,1781,Real-Time Patient-Specific ECG Classification by 1-D Convolutional Neural Networks,10.1109/tbme.2015.2468589
Philip de Chazal et al. (2004),999.269,-1072.684,0,0,2004,1631,Automatic Classification of Heartbeats Using ECG Morphology and Heartbeat Interval Features,10.1109/tbme.2004.827359
D. Louis Collins et al. (1994),1233.711,6098.955,0.023,3,1994,3464,Automatic 3D Intersubject Registration of MR Volumetric Data in Standardized Talairach Space,10.1097/00004728-199403000-00005
Robert W. Cox & James S. Hyde (1997),1901.283,7113.969,0.002,3,1997,1419,Software tools for analysis and visualization of fMRI data,10.1002/(sici)1099-1492(199706/08)10:4/5<171::aid-nbm453>3.0.co;2-l
Peter A. Bandettini et al. (1993),1864.692,6432.872,0.015,3,1993,1782,Processing strategies for time‐course data sets in functional mri of the human brain,10.1002/mrm.1910300204
Valer Jurcak et al. (2007),1893.98,7510.659,0.002,3,2007,1461,"10/20, 10/10, and 10/5 systems revisited: Their validity as relative head-surface-based positioning systems",10.1016/j.neuroimage.2006.09.024
Marco Ferrari & Valentina Quaresima (2012),1987.31,8266.167,0,3,2012,2135,A brief review on the history of human functional near-infrared spectroscopy (fNIRS) development and fields of application,10.1016/j.neuroimage.2012.03.049
Felix Scholkmann et al. (2013),2075.866,8030.65,0,3,2013,1860,A review on continuous wave functional near-infrared spectroscopy and imaging instrumentation and methodology,10.1016/j.neuroimage.2013.05.004
Theodore J. Huppert et al. (2009),2076.125,7686.663,0,3,2009,1716,HomER: a review of time-series analysis methods for near-infrared spectroscopy of the brain,10.1364/ao.48.00d280
Colin Studholme et al. (1999),438.295,2356.44,0.001,3,1999,2174,An overlap invariant entropy measure of 3D medical image alignment,10.1016/s0031-3203(98)00091-0
Josien P. W. Pluim et al. (2003),71.095,2108.014,0.002,3,2003,2870,Mutual-information-based registration of medical images: a survey,10.1109/tmi.2003.815867
Peter Hagoort (2005),3839.635,6271.227,0,3,2005,1405,"On Broca, brain, and binding: a new framework",10.1016/j.tics.2005.07.004
M‐Marsel Mesulam (1990),2875.747,6161.021,0.002,0,1990,2702,"Large‐scale neurocognitive networks and distributed processing for attention, language, and memory",10.1002/ana.410280502
Giacomo Rizzolatti et al. (1996),4033.836,6749.423,0.002,3,1996,4758,Premotor cortex and the recognition of motor actions,10.1016/0926-6410(95)00038-0
Marc Jeannerod et al. (1995),3777.86,6303.847,0.001,3,1995,1391,Grasping objects: the cortical mechanisms of visuomotor transformation,10.1016/0166-2236(95)93921-j
Marc Jeannerod (1984),4358.309,5786.886,0,3,1984,1354,The Timing of Natural Prehension Movements,10.1080/00222895.1984.10735319
Alex Martin (2006),3377.156,5904.966,0.035,3,2006,1599,The Representation of Object Concepts in the Brain,10.1146/annurev.psych.57.102904.190143
Kalanit Grill‐Spector et al. (2005),2308.054,5381.41,0.001,3,2005,2330,Repetition and the brain: neural models of stimulus-specific effects,10.1016/j.tics.2005.11.006
Bradford Z. Mahon & Alfonso Caramazza (2008),4152.564,5896.52,0,3,2008,1361,A critical look at the embodied cognition hypothesis and a new proposal for grounding conceptual content,10.1016/j.jphysparis.2008.03.004
Arthur M. Glenberg & Michael P. Kaschak (2002),4077.802,5456.632,0.004,3,2002,2307,Grounding language in action,10.3758/bf03196313
Marco Iacoboni (2008),3291.683,6556.95,0.006,3,2008,1566,"Imitation, Empathy, and Mirror Neurons",10.1146/annurev.psych.60.110707.163604
Nikos K. Logothetis & Brian A. Wandell (2004),1254.323,4946.433,0.001,0,2004,1561,Interpreting the BOLD Signal,10.1146/annurev.physiol.66.082602.092845
E. Kohler et al. (2002),4250.564,6665.222,0,3,2002,1791,"Hearing Sounds, Understanding Actions: Action Representation in Mirror Neurons",10.1126/science.1070311
Giacomo Rizzolatti & Michael A. Arbib (1998),4178.47,6023.19,0.007,3,1998,2813,Language within our grasp,10.1016/s0166-2236(98)01260-0
Vittorio Gallese (1998),4469.599,6637.65,0.001,3,1998,3135,Mirror neurons and the simulation theory of mind-reading,10.1016/s1364-6613(98)01262-5
Julie Gr�zes & Jean Decety (2000),4099.639,6539.402,0.003,3,2000,1495,"Functional anatomy of execution, mental simulation, observation, and verb generation of actions: A meta-analysis",10.1002/1097-0193(200101)12:1<1::aid-hbm10>3.0.co;2-v
Thomas L. Griffiths et al. (2009),1123.505,2055.32,0.001,0,2009,1853,Advances in Neural Information Processing Systems 21,
Jianshu Weng et al. (2010),1909.771,2095.002,0,0,2010,1734,TwitterRank,10.1145/1718487.1718520
Hamed Jelodar et al. (2018),452.863,1362.706,0,0,2018,1737,"Latent Dirichlet allocation (LDA) and topic modeling: models, applications, a survey",10.1007/s11042-018-6894-4
Brian MacWhinney (1992),3852.314,5249.586,0,0,1992,3427,The CHILDES project: tools for analyzing talk,10.1177/026565909200800211
Douglas Biber et al. (2006),2664.063,5516.99,0,0,2006,1482,Corpus linguistics : investigating language structure and use,
Irene Heim & Angelika Kratzer (1998),2959.142,6032.058,0,0,1998,1765,Semantics in generative grammar,
Bart Geurts et al. (1999),3187.25,6495.332,0,0,1999,2875,Semantics in Generative Grammar,10.2307/417746
R. Harald Baayen (2008),2950.094,6050.85,0,0,2008,2075,Analyzing linguistic data : a practical introduction to statistics using R,
R. Harald Baayen (2008),3175.458,6524.767,0,0,2008,3141,Analyzing Linguistic Data,10.1017/cbo9780511801686
Thomas Davidson et al. (2017),1871.149,3774.147,0,0,2017,2386,Automated Hate Speech Detection and the Problem of Offensive Language,10.1609/icwsm.v11i1.14955
Zeerak Waseem & Dirk Hovy (2016),244.556,4694.938,0,0,2016,1618,Hateful Symbols or Hateful People? Predictive Features for Hate Speech Detection on Twitter,10.18653/v1/n16-2013
Lili Yuan et al. (2005),2131.709,-2040.72,0.006,1,2005,10224,"Feature selection based on mutual information criteria of max-dependency, max-relevance, and min-redundancy",10.1109/tpami.2005.159
Óscar D. Lara & Miguel A. Labrador (2012),1216.841,-1564.104,0,1,2012,2548,A Survey on Human Activity Recognition using Wearable Sensors,10.1109/surv.2012.110112.00192
Ling Bao & Stephen Intille (2004),2082.568,-516.669,0.004,1,2004,3103,Activity Recognition from User-Annotated Acceleration Data,10.1007/978-3-540-24646-6_1
Unknown (1994),4405.202,-844.799,0.037,1,1994,1342,"Proceedings of IEEE International Conference on Systems, Man and Cybernetics",10.1109/icsmc.1994.399796
Nishkam Ravi et al. (2005),2055.913,416.915,0.003,1,2005,1371,Activity recognition from accelerometer data,
Michael L. Littman (1994),1330.632,3178.47,0.003,0,1994,2642,Markov games as a framework for multi-agent reinforcement learning,10.1016/b978-1-55860-335-6.50027-1
Arthur L. Samuel (1959),1814.024,2942.157,0,0,1959,4265,Some Studies in Machine Learning Using the Game of Checkers,10.1147/rd.33.0210
Kee Yuan Ngiam & Ing Wei Khor (2019),-1285.018,1562.958,0,0,2019,1373,Big data and machine learning algorithms for health-care delivery,10.1016/s1470-2045(19)30149-4
Fei Jiang et al. (2017),-1132.264,329.163,0,0,2017,4354,"Artificial intelligence in healthcare: past, present and future",10.1136/svn-2017-000101
Shuroug A. Alowais et al. (2023),-374.395,2550.448,0,0,2023,2484,Revolutionizing healthcare: the role of artificial intelligence in clinical practice,10.1186/s12909-023-04698-z
Kevin B. Johnson et al. (2020),-72.723,2006.607,0,0,2020,1567,"Precision Medicine, AI, and the Future of Personalized Health Care",10.1111/cts.12884
Raju Vaishya et al. (2020),195.594,2559.801,0,0,2020,1492,Artificial Intelligence (AI) applications for COVID-19 pandemic,10.1016/j.dsx.2020.04.012
Daniel Shu Wei Ting et al. (2017),-1880.223,3018.213,0.005,0,2017,2198,Development and Validation of a Deep Learning System for Diabetic Retinopathy and Related Eye Diseases Using Retinal Images From Multiethnic Populations With Diabetes,10.1001/jama.2017.18152
C. P. Wilkinson et al. (2003),-2389.152,6647.024,0.003,0,2003,3597,Proposed international clinical diabetic retinopathy and diabetic macular edema disease severity scales,10.1016/s0161-6420(03)00475-5
Frederick L. Ferris et al. (2013),-2526.372,7600.49,0,0,2013,1739,Clinical Classification of Age-related Macular Degeneration,10.1016/j.ophtha.2012.10.036
